*propname*'s?,,,
finished steppenwolf. not for everybody.,,,
tengo dem problemas...,,,
"accept the things to which fate binds you, and love the people with whom fate brings you together, but do so with all your heart. *propname*",,,
is honestly pretty bla today...wish i could go home to cape breton and sit on the beach in the sun,,,
classes start 1//26 at 1:30 pm. i'm so excited!,,,
*propname* is being so naughty today!,,,
wants to know who decided pages shouldn't be able to open a .doc?,,,
hasn't yet watched this week's episode of castle (and thus is failing at life!!!).,,,
wishing all of her friend the best of luck on the louisian bar exam!,,,
"is fighting that old, familiar feeling.",,,
warped tour was fantastic =],,,
ran back for her laptop when the firebell went off in etcheverry. for shame!,,,
r.i.p. *propname*,,,
is smiling,,,
anyone doing anything earlier tonight? call me im lonely :),,,
go house claver!!!!!!!,,,
sleepy mcsleeperson,,,
yoga cures nearly everything that ails.,,,
kid rock was right. we should all just be cowboys.,,,
"can't sleep. wishing she was 10 years old, and not about to be 24. misses people, misses less worries, wishes people kept promises of yesterday, wishes things were as easy as swiping a credit card in life...",,,
"felt like falling asleep in the hotpool. im so blah! oh well, i'll sleep when i have the time!",,,
does it actually feel like we got out early to anyone?,,,
"an obama consultant yesterday on taxing high-value, middle class health care plans: ""we're not talking about a new tax on these people. we're saying they currently get an enormous tax break and we're going to slightly scale that back . . ."" this will likely be the talking point for any new, middle-class taxes to come.",,,
is watching robot chicken. it's aliive!,,,
"thoughts are the shadows of our feelings - always darker, emptier and simpler. -nietzsche",,,
"after teaching for just 3 weeks, i finally understand the importance coffee plays in people's everyday lives.",,,
the law graduates prayer: god...if it's not too much to ask... may i pass the bar?,,,
i love my mom! for all of you that aren't too proud to say thank you to your moms for helping you be the great person you are today... please copy and paste to your profile! i expect to see this many times on my page!,,,
yay!!! got my new phone!!! holler!!!!,,,
"""hippy is an establishment label for a profound, invisible, underground, evolutionary process. for every visible hippy, barefoot, beflowered, beaded, there are a thousand invisible members of the turned-on underground. persons whose lives are tuned in to ",,,
"got back home, cleaned and oiled my gun, armed and ready to take on whoever challenges my reign....nd, i hav not forgotten the 4 possums who beat me in mafia while i was away.we'l' deal one by one....",,,
"so, my tickets for saturday's spartan wallop of the *propname* are in the mail, i should have them tomorrow...does anyone want to go see u2?",,,
believes that summer has indeed arrived.,,,
just finished rewatching v for vendetta and it rocked my sox,,,
"""all we have is hope and love, so don't you worry child, so don't you worry 'bout a thing in the night, for those can lift us up so we can rise, so we can rise above the madness"" -*propname*",,,
has travel on my mind,,,
just made civic jazz orchestra!!!,,,
just cried like a small child for *propname* and *propname*'s wedding. i want to marry *propname*...so beautiful,,,
is fat and happy :],,,
is having the worst day since yesterday.,,,
is ready for her day off,,,
now we are headed to *propname*'s to watch *propname* and me again!,,,
"got to be 'early to rise' tomorrow, so i'ma try to be 'early to bed' tonight...thusly, going to bed now; we'll see how that goes!",,,
"chuck taylors, combat boots, or vintage prada penny loafers today?",,,
"research meeting, french, and then work 3:30 to close, alone with becky. :(",,,
got the job!!!,,,
is up all night for no reason..,,,
back from the doctor with many many meds,,,
"we consider a pure gas composed of rigid, nonattracting spherical molecules of diameter d and mass m, and the number density (number of molecules per unit volume) is taken to be n.",,,
"watched avatar and it was  :  1. a sort anti-pollution, green peace statement 2. a light heart warming love story 3. and what not to do do when we actual invade other planets :d",,,
ugh...i hate landlords and i hate renting...,,,
physics= bad.  my favorite equation.,,,
ugh....tired...hw....essay....reading...blurghhl,,,
napalm is nature's toothpaste.,,,
"i'm so pleased today i might start glowing! xd ...hopefully more in a pleasant way than a radioactive way.  a new year is directly impending, yay!!  ecstatic for a symbolic fresh start// season of change, let me tell you!",,,
thinks intangibility should be an option in reality settings.,,,
"it's moments like this that i wish i worked for walmart. i hate rape. i'm no good at counseling ""victims"". especially when it's a parental perpetrator. why is this the way of the world ? why is it reality ?",,,
had a great birthday dinner at carraba's with family :-),,,
"okay, must sleep. must work in mere hours...ah who am i kidding ? i don't sleep. or eat. just smoke...and work. and love.",,,
give me some help people what are the aurgements for or agaisnt giving some one`s genetic information without there consent?,,,
also watches the chickens (6) after work.,,,
it's surprising how much better *propname* makes everything,,,
i ? my flip video cam so much!,,,
is about to cut his hair. objections?,,,
did anyone else think it was obvious *propname* and *propname* were getting a divorce like 34 seasons ago?,,,
comedy club tonight! woot :),,,
does not like this *propname* chick!  at all!,,,
"is so stoked to see *propname*, *propname* and *propname* at the hollywood bowl with her lady tonight!!!",,,
"really wants to study at a library or coffee shop today, but nobody will want to sit or drink coffee next to a girl who's coughing up her lungs...",,,
schools coming so soon!,,,
rainy days = warm food. its worth it.,,,
"*propname* is awesome...""complaining about going to the dentist is like complaining about too much education...it's offensive to alaskans...to *propname*, i just got finished coloring your wife's book.""",,,
"watching ncis marathon.  last time i did this, i investigated mysterious deaths all night long!  and i had to work the next day!",,,
running and ramen...what an awesome tuesday night!,,,
woo. new glasses will be ready next week!,,,
"coffee, christmas cookies, civil procedure and christmas movies... :)",,,
is noting the irony of her car overheating on the way to and from devil's head fire lookout tower today...,,,
hates *propname* for starting her on this damn farm town app.  you all must stert playing now and give me gifts! and mafia wars too. fml i'm a loser.,,,
"so exhausted today, i don't want it to rain. blehhhh",,,
is back,,,
best......night......ever!!!!!!,,,
"""got an animated corpse//at my beck & call//you will find my skin cells underneath his fingernails//carpet fibers from my car//covering his coat and clinging to his follicles//everyday we meet//plot fourteen//as he hops in the front in the seat next to me//he can't wait til i tell him what i need//then he nods a rotting head and then i set him free""",,,
"my first thought was ""wow, everybody is having birthdays at once...what a coincidence!"" then i remembered all of those profiles we made for threepenny...",,,
blah blah blah-blah blah blah blah,,,
"just turned down a series of paid ads for 944 and a motocross ad all because i won't be around for february...lol, but what a nice ego boost",,,
my cat squeaks when he stretches.,,,
memo-writing...,,,
no more student tickets for opening night at the lyric opera! hmm... how unmissable is tomorrow going to be? i'm thinking i may go anyway.,,,
"airplane time soon, it's a vehicle that flies, but that's not important right now. hahahahahah...hahah...",,,
"read, every day, something no one else is reading. think, everyday, something no one else is thinking. do, every day, something no one else would be crazy enough to do.",,,
loves correlation coefficients,,,
is heading off to the national order of the arrow conference,,,
the gods are angry today,,,
"breaking news: at the atlanta zoo, an old guy with a long white beard was caught try to lure 2 of each animal out of the exhibits.  it is also reported that he arrived in a large wooden boat...",,,
feels severely under-appreciated. it's lame.,,,
mash potatoes were a big hit in thailand!,,,
chicago for spring break in early march? should i?,,,
how do i change my facebook user name,,,
"is stoked bc a big grocery store, a nice gym, and a pinkberry (best after workout carbs ever..) are all within 1 block of my penthouse in ipanema.  not to mention the beach is a few blocks away.  i am about to go to all those places and then the beach... i'm in heaven",,,
takes a hike.,,,
"out of the main event... my 11k didn't make it far into day 2.  i've been playing cash games non-stop for the last two days though.  probably going to play again today... now that i'm out, planning to come to *propname*'s wedding",,,
tis a lovely night for a stroll,,,
"just played and sang a buch of chirstmas music for a general of the united sates air force's reception. there were so many ""big-wigs"" there and it was a blast. not to mention there was a cute girl bartending...great night.",,,
is attic apartment and tornado don't mix...the question is where to take cover?,,,
"stupid pc... seriously asking to get chucked out the window.  but in the spirit of the season, it shall be spared.",,,
"going through everyone's status messages from last night... yeah, so maybe i didn't do anything sexy or fun but i was at an event so >:p",,,
day 1 patience. say nothing unkind to your spouse. it is better to say nothing than to say something you will regret later.,,,
2 classes down...one essay to go. almost done for the semester!,,,
to frisco for a day.,,,
is thankful for her quite patio to watch the meteor shower from tonight :) anyone want to join me?,,,
just saw a pink floyd tribute band :),,,
"i find it funny that i keep clicking on unfamiliar names and wondering ""when did i friend this person?"" and until i realize they got married.",,,
"so pumped to be moving back to berk!!1 oo, ooooooo!!!",,,
thank you everybody! love you all!,,,
"for some reason, im watchin schoolhouse rock videos. im so bored.",,,
has an interview with the fsu film school on the 26th. big things poppin'.,,,
"drum roll please...76.5 hours this week of working. :) going back in at 7:30, then it is over tuesday..yay",,,
goddamnit!!!! fuck you lincoln!!! kick higher! and the guy took off his helmit! we should have had a re-kick! what bs is this? aaaarrrrg!!!!!!,,,
i seen a cauliflower @ the crown!!!,,,
is enjoying the last day of holiday shopping at beneath the wreath!  11:00-3:00 today at the st. nicholas cultural center.  www.juniorleaguegr.com,,,
off for the weekend!,,,
"is thamkful she didn't get murdered last night. seriously. and of course, for her lovely fb friends. :)",,,
arni :'(''''oo,,,
my computer keeps flashing me. like actually!,,,
"loves being broken. it means i fought hard and didn't give up. i'll wrestle with you, oh god of jacob, and i won't let go.",,,
back at the petaluma palace,,,
preparing for another day of boiling,,,
is wrapped up in his snuggie.,,,
is reading her new textbooks...so excited about taking human sexuality! i am going to make an a+,,,
"life is like a grapefruit. it's sort of orangey-yellow and dimpled on the outside, wet and squidgy in the middle. it's got pips inside, too. oh, and some people have half of one for breakfast.",,,
it's official: i'd rather have watched 6 depressing foreign language films than this boring 2-hour long piece of crap called adventureland,,,
frick! my chem class is filled up already and i need it or the next two years of my life is messed up!!!!!,,,
work 10-8 and then *propname*'x for the night,,,
is getting better at resisting the urge to ragequit.,,,
is longing for the comfort of familiar.,,,
is quickly learning that when making a french dish to be prepared to pour whole bottles of wine into the sauce lol,,,
"is getting some work done, then cleaning my room//apartment!...it is hotttt outside!",,,
why are my clothes disappearing!!!! =(,,,
"waiting for a batch of homemade peppermint bark to set in the fridge to help ring in the new year! suck it, williams sonoma, with your exorbitant prices!",,,
"well, meds situation is not ideal by any means (zombieish again) but it's a vast improvement on the last few days of horror!",,,
...surround yourself with people in your life who make all of the work//effort//time worth it.,,,
"thanks to the beauty of anythingyouwantdelivery.com ... i have callofduty4mw2 on the way right to my place right now, for just a small delivery charge (along with some chipotle)... i've been hearing amazing things about it (best fps since counterstrike)... and i might have to do a little gaming",,,
is lonely.,,,
"yay mythbusters!  ninjas, explosions, and science, oh my! :d *nerdnerdnerd*",,,
"has a new number, ask me if you need it",,,
"knows that god is carrying her. without him this would be too much. ""keep thy heart with all diligence, for out of it are the issues of life. (proverbs 4:23) lord, i know your love is enough for me. :-)",,,
*propname* makes me wanna be a republican.,,,
it's a lovely day in the neighbo[u]rhood when ucla win and the university for spoiled children lose :),,,
fire drillll!!!,,,
loves group projects! especially when i do 90% of the work! awesome!..... not!!!,,,
*propname* is a bully... t_t,,,
s ganache is delicious.,,,
"faith 4-1 dinner: 19th sep, meet @ dhoby ghaut - 5:30pm. sms *propname* to rsvp. exclusive to my faithfourone batch only. =d",,,
my hangover + klonopin + gresy ass breakfast = festive events in me bed! :-),,,
"was told today (by a nurse at the hospital) that ""a pastor is the last thing she would take me for."" which begs the question...what is the first thing she would take me for?",,,
is a national merit semifinalist!!! yay!!,,,
"well, i think he has the flu, but it is basically impossible to tell if he has the swine flu",,,
is still in shock...,,,
"justine henin, stay the hell away from tennis.  no one wants you back.  you sir, were a bitch",,,
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. despite the late//early hour, this is only further awesomeness.",,,
"life never seems to stop changing. its crazy to think college is almost over. wow. lord, please guide the steps of my life as it is so formless yet traced before me.",,,
being drunk is a good disguise. i drink so i can talk to assholes. this includes me.,,,
"""funny the way it is when you think about it, one kid walks 10 miles to school while another's dropping out.""",,,
carpe diem. :c,,,
told the guy behind the fish counter to gut a catfish by mimicing longitudinal write slices.,,,
"wow, i got d-r-u-n-k last night... hangover in full effect.  mike gets in today, and i think we are all going to the lake.  i might actually get a little sun... don't worry i'll have sunscreen =)",,,
satan's furry jamhats,,,
"our business in life is not to get ahead of others, but to get ahead of ourselves -- to break our own records, to outstrip our yesterday by our today.",,,
having fun at school....... hmmm....... nvm,,,
we're talking christmas movies in my latest article. http:////www.examiner.com//examiner//x-24676-gainesville-film-industry-examiner~y2009m12d6-best-christmas-movies,,,
"""do you do the air glock or air shotgun when you hear that song? i do the air glock that's just my style."" 105.3 dj at the end of mia's paper planes",,,
"happy lunar new year, chuc mung nam moi, xing nian kwai le",,,
love me dead...,,,
"santa isn't bringing me presents this year. he sent mal and river to do it, i don't think he considered the noise factor of serenity though. (if any of you get the extreeeemly geeky reference i'm making, just smile and accept that every year i wish for firefly to start up again)(hint, hint, santa)",,,
"""...for you, my child, shall be called the prophet of the most high for you will go before the lord to prepare his wayto give his people knowledge of salvation...""",,,
can't wait for february so i can start traveling again!,,,
realizes that maybe she will not move to hawaiithis heat and humidity is killing me slowly. cleaned her apartment yesterday in the heat and swears she sweat off 10lbs!,,,
ni abot na jud sa point nga i'm actually dreaming about missing her. hahaha lol kaayu,,,
thanks for the birthday wishes!,,,
had an awesome 4th.,,,
is done with her paper! now to the next one...,,,
"the lizard known as the tropical thunder, passed on monday night.    he perked up after the leg fix, but he was already too far gone from neglect at the pet store.",,,
mmm... liquid kryptonite!,,,
"is looking to join junior league of new orleans, anybody know who to contact?",,,
*propname* and sushi. :d,,,
"""shit, i didn't pass the bar, but i know a little bit, enough where you won't illegally search my shit.""",,,
who 'dat!,,,
might just vomit. i hate exams.,,,
is bored...,,,
as of yesterday i am officially out of the moon boot!!!!,,,
insecureorama,,,
"hates facebook, the internet, and her monitor.",,,
i need to be asleep. i get up in....5 hrs ? no idea really. what am i doing again ?,,,
is praying hard to be just one who scatters seed on the earth.,,,
adores my watercolor pencils <3,,,
hahahahahah.....i'm off for the next six days! it is awesome,,,
"needs inspiration to re-organize her space... and time.  oh yes, time.",,,
it's crunch time. see y'all in a month or so.,,,
is so excited for freshman dress!!!!!!!,,,
"had a great night out with friends, ate awesome food, and watched stand up comedians on youtube.  fun...and now i'm tired.  g'night everybody.",,,
"boys are like buses, miss one, next one coming!",,,
"remember, remember, the fifth of november, the gunpowder treason and plot. i know of no reason why the gunpowder treason should ever be forgot... but what of the man?",,,
is all about nyc tomorrow :-),,,
chicka boom boom,,,
"""yes yes yes, effervescently meaningless...""",,,
"just remembered, i seen a naked guy running up the supports on the squinty bridge last night with all hanging out .. but wearing socks. not a pretty sight.",,,
loves phoenix:),,,
is never drinking again,,,
really loves the fall,,,
woke up this morning with both of her arms asleep. unpleasant.,,,
i got rear-ended b4 i rear-ended someone...surprising.,,,
"so my dome light will not go out when i am driving, i actually reasched the problem myself and sent *propname* out to spray the crap out of my door latches with wd40...i cannot believe i was on a forum looking up car stuff...",,,
"i love comcast ""on demand"" exercise videos!  just discovered them.  i can be a hip hop dancing machine all alone right in my very own living room. haha, embarassing.",,,
doesn't like mondays.,,,
had the best day ever!!! :) i'm so happy ?,,,
is sick and blames you,,,
pintando ojos...,,,
bet awards tonight at 8,,,
is mostly unpacked and moved in! :),,,
i get $$$$,,,
why are people from new jersey so proud of being from new jersey?,,,
"27f, feels like 14f....ah!  it's like being in ithaca again!  it feels wonderful!  and yes, *propname*, i am crazy.",,,
"still, i wouldn't mind punching something.",,,
basketball is fun but we've lost two games and won two,,,
hope i dont have too much h//w to make up tomorrow...that is if i can go back tomorrow. grrrrrr. i hate being sick!,,,
sleepy.......,,,
"gonna be 83 degree today ! coffee, sunshine, and sweet email from a friend. day started with love, is continuing, and will end in love.",,,
got a new shampoo//conditioner and i'm excited to shower so i can try it!,,,
so there's a guam quarter?,,,
//machetemachetemachete,,,
countdown to florida...one day,,,
"""over the river and to the woods to boosha's house we go!""",,,
westbound on the mass pike you see signs for springfield and albany, almost like being in oregon.,,
wonders if it's a better idea to stay home and not celebrate hemingway's birthday with free absinthe drinks since i think i'm getting sick :(,,,
"scratch *propname*, replace with *propname*. divine.",,,
"you want to play house you got to have a job. you want to play nice house, very sweet house, you got to have a job you don't like.",,,
editing the personal statement for graduate school...,,,
the undertaking of a new action brings new strength,,,
bloody monday is done in 53minutes =)),,,
"attention - read this and then re-copy it to your own status to get the word out: if you get a notification that says a friend reported you to facebook for being offensive or in violation of terms of service, do not click it. it's a virus. please post this on your own site for your friends. reposting",,,
is exhausted..,,,
"s mom is playing scrabble.  mom: ""what the heck does 'rehem' mean?  oh, wait; that was my word.""  i think she needs to go lay down like *propname* for a little while.",,,
is wondering whats happening for the weekend,,,
"copy this into your status and see what people rate you!!!! 1=crazy, 2=i'd marry you, 3=talkative, 4=sarcastic, 5=i miss you, 6=club head, 7=moody, 8=dumb, 9=mouthy, 10=spoilt, 11=random, 12=hot, 13=funny, 14=fit, 15=amazing, 15=tough, 16=cute, 17=gf//bf type, 18=player, 19=i love you, 20=gorgeous, 21=the best, 22=cool",,,
*propname* 7th birthday today!  took him out to watch jackie chans new movie the spy next door yesterday and out to eat at red robin...*propname* sat through his first movie at the theatres lol today doing pizza and cake here at home.  i'll send out invites to a party here soon,,,
i dont get y people are afraid of the unknown becaues the unknown is usually way more fun than the known,,,
":unplugged, disc 1, track 12.",,,
oh what!!!!! latendresse est échangé aux wild!!!!!!,,,
we need more long weekends.,,,
"it was good to get out of the house for a little while, and even better to see my girls!",,,
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the open house. sleeeep, she beckons.",,,
enjoyed himself at wild wednesdays.  big ups to martini and *propname*.  let's hope they invite me back.,,,
vegas until thursday :),,,
finished most of the mocap cleanup... dunno if it looks wierd... should i capture again?,,,
"is preparing for the move, settlement tuesday.",,,
l'été est fini.... et je commençais à me faire du fun!!!!,,,
"""soy nog."" lolwut.",,,
is in desperate need of a social life!!! :(,,,
is polishing his set for tonight.,,,
is 57% done with class today and just wants to go home and organize (and maybe find the usb cord to my phone so i get some new music on here).,,,
i am what i make of myself. i am love. i am.,,,
is sermonizing in hopes of being transfigured in the process...,,,
home sweet turkey!,,,
math...,,,
"when sending your christmas cards this year please take an extra one and send it to this address: a recovering american soldier c//o walter reed army medical center 6900 georgia avenue nw; washington, d.c. 20307. if we pass this on, think of how many cards our wonderful wounded military will get. pass this on to all your friends. (just copy and paste to your wall)",,,
has just taken apart his speakers to amplify his headphones.,,,
168. that's it.,,,
wants to crawl into bed already.,,,
being sick is not enjoyable...seriously,,,
work 9-3 then going to see pirate radio with *propname*!,,,
enjoyed the show at the dtcc.  kudos to all who were on it.,,,
anyone looking for google wave invits ?.. lemme know.,,,
why can't i be at top o right now? go saints:),,,
"exciting saturday plans: write a literature review, study for my midterm tuesday, grocery shopping, cleaning our apartment and maybe some late night laundry :o)",,,
"loving my new book!!! i recomend ""the house of night"" series to everyone!!!",,,
has been in cape breton for 10 days...and has read 8 novels. humm i almost wish i had studying to do lol. but everyone here is soooo nice :o),,,
lamborghini murcielago,,,
"rocky, rocky, rocky, no. rocky, tomato, sheep, go!",,,
the universe is a symphony and the laws of physics are harmonies of a superstring. how beautiful.,,,
"might need to make an easier ""how-well-do-you-know"" quiz.  go take it and tell me.  ; )",,,
"come with me, come with me, we'll travel to infinity",,,
misael's teahing me a little self defense. hahaha,,,
the teeth are now in open revolt. i must make an appeal to the dentist  tomorrow to quell political unrest,,,
really needs to plan out the next two days carefully... hmm...  ¬_¬,,,
"thank cthulhu it's frida's day. wilmington, de in the morning and then back to philly.",,,
s gotta get a damn camera!,,,
"damn sense, always getting in my way.",,,
will be in a dress rehearsal tonight in preparation for the båstad concerts with musica vitae. :),,,
monday comes too fast and too early.,,,
"i mean to go to bed early (to get over the plague of atlanta), and yet i end up staying up all night doing practically nothing.  story of my life.  hmph!",,,
i can't believe it!! they used beethoven's pathetique no. 1 on att new commercial!!!! this is like insane!!,,,
just saw a flash of channy's face on a commercial! yay!,,,
msc iii class..,,,
the ugly truth was fantastic!,,,
*propname* est en feu!!!!! je me demande c'est qui le prochain sur la liste..... mais il y a toujours un gros problème.... le centre #1 c'est qui au juste????? pis c'est qui le nouveau gardien d'expérience pour seconder *propname*????,,,
2 months of hell yet again... fml,,,
ny is the best!,,,
"staying up late reading an analysis of caesars civil war a man who lived by the quote audacity, more audacity, always audacity, his amazing success in life, war, and politics is yet another hwever old testament that fortune trully does favor the audacious a saying that seems to hold more truth with every experience i have",,,
back in carolina,,,
taps then bed....,,,
the internet is soooooo slow. pirmi ko ma dc.,,,
is glad that his car is not infested with madagascar hissing cockroaches.,,,
"alright doppleganger, i used to get the most random ones...but i think *propname* was the only one that made some sense.",,,
"is home lovin' on my kids....oh, and my hubby too ;)",,,
needs to find someone to live with next year!!!,,,
tis the season to cough up weird stuff...yecch.,,,
is reading his packet for law school orientation. this is all very exciting and petrifying at the same time.,,,
is sleeping :),,,
"is more wag, less bark today.",,,
sore from moving last night...wind-burnt on my face and hands (i am so sexy bahahaha). finally back in our apartment!...and leaving the mess to go home for the holidays :o) working 9:30am-12:30pm running home to get *propname* then running to the shuttle and heading to inverness @1:15pm :o) if we miss the shuttle you will see us sleeping on spring garden :op...hummm cab to the shuttle it is!!!,,,
"christmas tea with the females of  my mom's family, then home to bake cookies. maybe out later.",,,
what!!!!! phaneuf et giguère avec les leafs!!!!,,,
is preparing for five days of awesomeness. hurray for geo18!,,,
"facebook experiment- if you are reading this, whether we do or don't speak often, please post a comment of the first memory you have of you and me that pops in your head. when you've finished, post this paragraph on your own status; you'll be surprised what people remember about you!",,,
is coming back,,,
"7:15 chem classss, dieee d: *collapse on floor* zzzzzzzzzzzz",,,
lovin keyshia coles new song trust!!!,,,
"working out, practicing, packing....",,,
always provided that this testemonye of joy be careful done without any danger or disorder'.,,,
have to fin my homework,,,
rock band and ddr.  yessss,,,
going to yec with my church on monday,,,
do not ever book your trips through travelocity...they tried to charge me three times for the same booking!!! grrrrrrrr,,,
"at home, trying to remember who i am related to and witch kids belong to witch cousin....and craving polish food.  in another devolopment, i thought i would be able to escape country music in the north, but in reality it is worse...",,,
being sick is the cooolest.,,,
is annoyed that gm decided it would be cool to have some stupid ass bracket for wiper blades on the g6 resulting in me having to pay $70 for replacement blades.,,,
outlining property all day... *propname*'s coming to see me tonight so that's a great motivation to get my work done!!! :)  can't wait to see him!!!,,,
new cell number: (555) 555-5555,,,
loves how you can rent movies on itunes and watch them on your ipod. who woulda thought? freakin crazy. just watched the girl next door...such a good movie.,,,
"""out of the abundance of the heart, the mouths speaks"". guard your words at all times. your mouth can do so much damage to you and those around you. ""the tongue is a world of iniquity, set afire of hell.""",,,
has decided on a new profession: time-travelling porn star.,,,
dentist today...yay...,,,
so season 4 of dexter started out crrrraaazy!,,,
stunning teletubbies and making them feel pain is sooooooooooooo fun,,,
is turning into a hermit,,,
<3's catching up with friends,,,
needs a big hug,,,
is sick.. again.... :'(,,,
chicka chicka slim shady,,,
does anyone have a stud finder and a drill i can borrow?,,,
anyone want to sublease my pretty north beach studio so i can spend the rest of my life traveling?,,,
i wish the naries would get here. i've got things to do and people to ignore.,,,
"""hey don't smoke that tijuana it'll make you crazy,"" my grandma... hehehhe :)",,,
forgive me for what i am about to do tonight.,,,
dernier 72 hrs de gâterie et on commence le ''vrai training'' j'ai déjà mal! lol,,,
hoping it's not gonna rain today... or... in the next week... or... ever.,,,
feels so blessed by her church family...there couldn't be a better church to serve than calvary!,,,
g dot attorney at law,,,
merry christmas my loves!,,,
is getting much better :d,,,
i feel like my insides have turned into goo and are going to seep out my pores at any minute...,,,
"hi, fall.",,,
"is craving a vanilla latte and some new good music 'cause she's bored of just going through her shuffle... something decemberist-esque? (ha, that's a mouthful.)",,,
omgomgomg... results release day.... xd,,,
had the most random interaction with a stone drunk stranger!,,,
s heart is broken by the bears. yet again.,,,
saturday was easily one of the best days of my entire life!!!,,,
doing a double shift at work.,,,
has a long day but a fun night ahead of her!,,,
tgif hopefully i can have some fun too...,,,
"is not knowing what to do with the time she has on her hands. park, stalking squirrels? ugh...does anyone need to hire an assistant? boo",,,
"running in the rain then making my ""red wine and cheese pairing"" cupcake and working on a business outline",,,
needs something to do.,,,
"thinks people should either do something or shut up and deal!  we were the (pretty much) first country to have a peaceful transfer of power between political parties.  let's go back to those times, shall we?  if you're not gonna do anything about what you don't like, then please, shut up and leave everyone else alone. kthxbi.",,,
getting down with the sickness  :(,,,
has to take psats :(,,,
real talk.,,,
made it back from the festival. a coupla of bee stings and whiskey draught and some awesome tunes...what an awesome day,,,
"lol @ ""never mind the buttsecks""",,,
don't take ugly betty off the air!!! there are plenty of stupid shows on the air ...this is one of the few shows that's actually empowering to women and speaks to real people!,,,
"is so content with everything right now. music is so beautiful. the 90s is probably my favorite era. really wanna be back in school. what's that, i'm random? random is my chinese neighbor's middle name. except it's my middle name and i don't really have a",,,
will be in tokyo all of wednesday morning~ does anyone want to hang out?,,,
not so well today... getting betta...,,,
~ what actress do i look like? :o,,,
so...*propname* can now count backwards from 10 :-),,,
"what homework did we have today, if any?",,,
is moving yet more wood!,,,
is overwhelmed with excitement,,,
":] ahhh, love it",,,
"just finished ""there are no children here.""  it was horrendous.",,,
super bowl!!!! super bowl!!!!! super bowl!!!!!!,,,
is old & unprofessional.,,,
"doobee doobee doo, wait'n on the doctor...",,,
"what sad news for the gator nation today, the resignation of urban meyer. our prayers will be with coach meyer and his family.",,,
is getting disturbed by the deer in the meadow. they seem to be edging ever closer...they can smell fear,,,
<3's my purple tights and movie night :),,,
what the french is this tsunami business about!?!?,,,
another adventurous night with the natives...going to holland this time!!!,,,
"wow, i'm stupid - i can't count in monthly increments. i actually have one more month to complete this f____ thesis!!!",,,
just realized how many projects//papers are due in the next 4 weeks! eek!! :(,,,
has discovered that is an awful idea to sleep on her back.,,,
the greatest pleasure in life is doing what people say you cannot do. ~*propname* ~,,,
is etching closer to becoming stir crazy..,,,
has played more freecell today than any man should.,,,
and the moment has come.  bottom of the 9th.  who wants to be a hero??,,,
"went and got the last of my stuff out of my...car...(read: twisted metal heap with fuzzy seats) this morning.  it was kind of sad...i apologized to car (yeah, that's its name dammit, shut up) for smushing it, and hugged it goodbye, and then took the title to my mechanic so it can be junked.  thusly, the day started in kind of a somber mood.  if only i could locate a sufficient replacement, though...",,,
thanks everyone for all the texts etc...  finally feeling human again!  i don't think i've ever been so sick.  went out for the first time in 12 days this morning! talk about cabin fever...  back to work on wednesday - am even looking forward to it!,,,
"i see the light at the end of the tunnel!  liturgy take home final due friday and last but not least, philosophy of education paper to complete during winter break.",,,
made eggrolls the right way.,,,
is feeling uninspired and unmotivated. can someone else please pay her bills and move her into her new apartment?,,,
just as i remembered...rockclimbing is the shizz! now i'm amp'd for the work week. ,d,,
"momentarily considered waxing poetic about the new year (one 'holiday' that is actually somewhat important to me), but it's all been said before, i'm sure.  instead, i'm just gonna go get loads of sleep so i can enjoy tomorrow night's festivities wholeheartedly!",,,
well that didn't work,,,
dying for first vietnamese food in years. i could dream of pho tonight,,,
not to be a bitch but...if i hear about one more celeb dying from drug overdose i'm going to fing lose it...get it together and act like adults...ridic,,,
is a lady of leisure...,,,
happy halloween!,,,
"hal is alive once again!  just in time for 2010, conveniently enough.  not sure if i'm gonna keep him, cuz he's now missing ms word, but eh, he has internet.",,,
"had enough of this memo today, almost done! reading a good book until sleep... can't wait until home on tuesday... it's going to be a great week!",,,
six-hundred days!,,,
"*sneeze, cough, snort* blech!  trying that airborne shit tonight!  at least i'm getting the screechy car fixed today.  now if i could only find gloves that match eachother...*wearing one black leather glove and one knit blue striped glove*",,,
"i don't mean to seem disrespectful, officer. but god damn, i want like three of you.",,,
nachofest!!!!,,,
gabriel iglesias!!!  xd,,,
read about *propname* on my site page. he's a real happening dude. http:////www.examiner.com//examiner//x-24676-gainesville-film-industry-examiner~y2009m10d16-richard-kidd-man-of-1000-effects,,,
"work, work, work and then home to clean",,,
"desires the thrill of inspiration. also, money.",,,
yeah!!! i went and saw the chiropractor today. hopefully this will relieve my back issues,,,
"i don't understand why some people make it so hard for you to be nice to them. i dont understand why i'm worrying about it anyway, they sure aren't.",,,
"places to go, people to see, papers to write and homework to read. having a productive day :o)",,,
anyone has an extra concealable camera??,,,
"has just finished watching the wire, and it was awesome.",,,
i will be in tokyo on the 10th!  anyone want to entertain//be entertained by me while i'm there?,,,
"i love how techers are always tagged as ""the smart one.""",,,
is making soup!,,,
beware uncaged coral.,,,
just needs to make it through thursday.,,,
"quote of the day: ""my ex had them...having saggy balls slap u during sex its the most discusting thing ever""",,,
